Group,Contrast,Correlation,Energy,Homogeneity,LBP_Entropy,Gabor_Mean,Wavelet_Energy
Generic,649.2283816861282,0.8652705375876042,0.01392601953934347,0.1451727196471964,5.086152863580776,47.39710787259615,9.459329927884616
Generic,2144.9075679030375,0.7034808896778803,0.00625361127409267,0.04542752516883278,4.528534194637495,77.42662805944056,22.14733284883721
Generic,950.9815043035994,0.8381146185756967,0.008868232412509126,0.07383694243187573,4.904861237251248,77.47110677083333,12.485924479166666
Generic,847.6886567916445,0.9073804142124663,0.00902124773650292,0.08017468883673982,4.839318016859291,55.90619097912525,11.395529513888889
Generic,1420.1381880041422,0.84042001735955,0.016855153884553727,0.11428913796155801,4.865724026866364,74.07855603448276,12.786941598360656
Generic,676.1589397496086,0.9092062847624789,0.012169522933655533,0.15134881865829655,5.19868346124143,54.752744140625,7.16498046875
Generic,1035.8382910309076,0.8269144332546523,0.010390163171084722,0.10870868140337261,4.790613195760743,66.47500610351562,10.9690185546875
Generic,759.214329029734,0.908258768782427,0.017905827405637148,0.11505226570636716,4.882494655724739,64.32581380208333,11.115631510416666
Generic,648.8340719289778,0.9208320335821923,0.010370622034878221,0.12478598089851672,4.972031812726312,54.705089077102805,9.96640625
Generic,410.3934856574538,0.9291566717119456,0.01079929495104793,0.08941705861406724,4.615759680383035,34.234069293478264,9.136533235785953
Generic,704.9576603982302,0.9120464127825086,0.009277197126200057,0.09440513101447999,5.263122473990983,79.10765790636043,8.164349602473498
Generic,1488.498733588501,0.7070596102531036,0.008379431216304186,0.052999830308953604,5.033949103456008,90.56872803714859,15.371034136546184
Generic,971.608408320292,0.7862591515244698,0.008397802430086336,0.057287996915077265,4.916080379469187,80.65746744791667,13.2609765625
Generic,684.7923708920189,0.9116900619095888,0.010394648551573056,0.07237584804893038,4.9731216592538185,73.10348388671875,9.2019970703125
Generic,930.9965390135701,0.8470586190917826,0.008573144924042354,0.08375837424010939,5.172127689709388,75.42126627604166,10.207545572916667
Generic,1699.1670872456962,0.658089219076657,0.007535578423574754,0.0511601499235375,4.81038925943956,84.23885416666667,16.847877604166666
Generic,354.5826022104851,0.9496606911401684,0.013869801388593445,0.14281767418270241,5.217269772872574,45.33685791015625,5.2990478515625
Generic,687.800058685446,0.849962844607014,0.01316551171293821,0.10225052181288408,4.936865166739966,53.3137255859375,10.00859375
Generic,1760.8238882368282,0.7617812687909397,0.009996062381784786,0.060500345172093295,4.935817981360422,79.46537109375,13.496438802083333
Generic,990.1909013106416,0.8436901912849591,0.009119863313757113,0.10762764000740284,4.86392370573389,66.9574365234375,11.466787109375
Generic,1873.2747601272486,0.8151694282121349,0.01622005609485755,0.12371600370630992,4.848354254361563,78.88251472848361,14.307152920081966
Generic,489.2100132042254,0.9523259943864887,0.020005119481086395,0.11274282674080047,4.627743881896878,45.86275634765625,8.0187158203125
Generic,313.5152636877989,0.917705692643761,0.015066206237116497,0.10510974099290304,4.703941507315279,34.22401660839161,7.702545891608391
